tenantId,entityType,entityKey,schoolId,studentId,invoiceId,resolution,resolvedGradeLevel,reason
34f49822-ae1d-4188-95f0-04e14bc6c662,INVOICE,INVOICE#61a247a4-44d6-4fc0-a414-062fd4d7e694#af70c04f-e697-4f1c-b4f8-e1983e3df92d,61a247a4-44d6-4fc0-a414-062fd4d7e694,7e8bdcb0-7d59-4dd3-b77f-a076a6363df9,af70c04f-e697-4f1c-b4f8-e1983e3df92d,resolved,6,
34f49822-ae1d-4188-95f0-04e14bc6c662,INVOICE,INVOICE#61a247a4-44d6-4fc0-a414-062fd4d7e694#bf682234-9c08-416c-af35-e47aef338e4f,61a247a4-44d6-4fc0-a414-062fd4d7e694,b1d4c3a3-a99d-474c-8397-8de23b0bf9e2,bf682234-9c08-416c-af35-e47aef338e4f,resolved,1,
34f49822-ae1d-4188-95f0-04e14bc6c662,INVOICE,INVOICE#61a247a4-44d6-4fc0-a414-062fd4d7e694#f29bb9cc-f6e9-4803-9bd6-85c0cfc5eeb6,61a247a4-44d6-4fc0-a414-062fd4d7e694,30886e80-8f60-4e28-960e-d1830d7e2278,f29bb9cc-f6e9-4803-9bd6-85c0cfc5eeb6,resolved,3,
34f49822-ae1d-4188-95f0-04e14bc6c662,INVOICE,INVOICE#61a247a4-44d6-4fc0-a414-062fd4d7e694#d42f2410-dab1-4d79-8513-7f06d4ad515f,61a247a4-44d6-4fc0-a414-062fd4d7e694,861fe510-cb5c-49ea-9247-42e350626737,d42f2410-dab1-4d79-8513-7f06d4ad515f,resolved,3,
34f49822-ae1d-4188-95f0-04e14bc6c662,INVOICE,INVOICE#61a247a4-44d6-4fc0-a414-062fd4d7e694#cfb465a6-c9df-4583-8566-ae4a367aec18,61a247a4-44d6-4fc0-a414-062fd4d7e694,e6c43bb8-7374-4b07-af42-2b88b74465fa,cfb465a6-c9df-4583-8566-ae4a367aec18,resolved,3,
34f49822-ae1d-4188-95f0-04e14bc6c662,INVOICE,INVOICE#61a247a4-44d6-4fc0-a414-062fd4d7e694#d0fed062-7291-4537-a818-ae72773c4008,61a247a4-44d6-4fc0-a414-062fd4d7e694,0d34b0b7-d594-4781-9d85-83af679f02a1,d0fed062-7291-4537-a818-ae72773c4008,resolved,3,
34f49822-ae1d-4188-95f0-04e14bc6c662,INVOICE,INVOICE#61a247a4-44d6-4fc0-a414-062fd4d7e694#f65e922b-bea3-4df1-930c-f39205ef432c,61a247a4-44d6-4fc0-a414-062fd4d7e694,ed4df14f-d6ea-4f6a-868a-089112e78264,f65e922b-bea3-4df1-930c-f39205ef432c,resolved,3,
34f49822-ae1d-4188-95f0-04e14bc6c662,INVOICE,INVOICE#61a247a4-44d6-4fc0-a414-062fd4d7e694#ec8bc48d-6fcd-45f7-9e35-67db06982d18,61a247a4-44d6-4fc0-a414-062fd4d7e694,1d82e45e-bed6-45e6-97db-eb8b5a7bdd7a,ec8bc48d-6fcd-45f7-9e35-67db06982d18,resolved,10,
34f49822-ae1d-4188-95f0-04e14bc6c662,INVOICE,INVOICE#61a247a4-44d6-4fc0-a414-062fd4d7e694#f9d0226c-aa35-4796-9454-bdc290f22370,61a247a4-44d6-4fc0-a414-062fd4d7e694,7d28987a-80a6-44e2-838a-b16f19d6f9b3,f9d0226c-aa35-4796-9454-bdc290f22370,resolved,3,
34f49822-ae1d-4188-95f0-04e14bc6c662,PAYMENT,PAYMENT#61a247a4-44d6-4fc0-a414-062fd4d7e694#28976e59-950b-44af-9d9c-a2533ba2f2c7,61a247a4-44d6-4fc0-a414-062fd4d7e694,,ec8bc48d-6fcd-45f7-9e35-67db06982d18,resolved,10,
34f49822-ae1d-4188-95f0-04e14bc6c662,PAYMENT,PAYMENT#61a247a4-44d6-4fc0-a414-062fd4d7e694#a0dc9d4f-d285-4633-98a5-0b6de87fe58b,61a247a4-44d6-4fc0-a414-062fd4d7e694,,bf682234-9c08-416c-af35-e47aef338e4f,resolved,1,
